Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
17:25,,,,,,1,
17:25,,,,,,1,
17:25,,,,,,1,
17:26,,,,,,2,
17:26,,,,,,2,
17:26,,,,,,2,
17:26,,,,,,2,
17:26,,,,,,1,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
18:12,,,,,,0,
18:12,,,,,,0,
18:12,,,,,,1,
18:12,,,,,,1,
18:13,,,,,,2,
18:13,,,,,,2,
18:13,,,,,,2,
18:13,,,,,,1,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
18:52,,,1,,,,
18:52,,,1,,,,
18:52,,,1,,,,
18:52,,,2,,,,
18:53,,,2,,,,
18:53,,,2,,,,
18:53,,,2,,,,
18:53,,,1,,,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
19:00,,,1,,,,
19:00,,,3,,,,
19:00,,,2,,,,
19:00,,,3,,,,
19:01,,,5,,,,
19:01,,,5,,,,
19:01,,,7,,,,
19:01,,,7,,,,
19:01,,,7,,,,
19:01,,,7,,,,
19:02,,,7,,,,
19:02,,,8,,,,
19:02,,,8,,,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
22:07,,,2,,,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
22:07,,,2,,,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
22:12,,,0,,,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
22:14,,,1,,,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
22:15,,,1,,,,
22:15,,,1,,,,
22:15,,,1,,,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
22:16,,,0,,,,
22:16,,,1,,,,
22:16,,,1,,,,
22:16,,,1,,,,
22:17,,,1,,,,
22:17,,,1,,,,
22:17,,,2,,,,
22:17,,,2,,,,
22:17,,,2,,,,
22:17,,,2,,,,
22:18,,,2,,,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
15:09,,,,,0,,
15:10,,,,,0,,
15:10,,,,,1,,
15:10,,,,,1,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
16:20,,,,,0,,
16:20,,,,,1,,
16:20,,,,,1,,
16:21,,,,,2,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
16:21,,,,,0,,
16:21,,,,,0,,
16:21,,,,,1,,
16:21,,,,,1,,
16:22,,,,,2,,
16:22,,,,,2,,
16:22,,,,,2,,
16:22,,,,,1,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
16:44,,,,,0,,
16:44,,,,,1,,
16:44,,,,,1,,
16:45,,,,,2,,
16:45,,,,,2,,
16:45,,,,,2,,
16:45,,,,,2,,
16:45,,,,,1,,
